objID,ra,dec,mjd,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,Num
1237660334798274581,28.1050685682164,-0.286843385751964,52585,16.97889,0.01826806,15.84348,0.01352724,15.65427,0.01977547,15.63658,0.02075409,15.58219,0.01702373,1223933.0
1237660334798274580,28.1050685682144,-0.286843385737913,52585,16.97886,0.01826665,15.84348,0.01352711,15.65427,0.01977516,15.63658,0.02075351,15.5822,0.01701951,1223933.0
1237660334798274579,28.10507687253,-0.286841238350363,52585,16.97873,0.01826607,15.84341,0.01353174,15.65427,0.01977514,15.63672,0.02075351,15.58216,0.01701911,1223933.0
1237660785773445134,28.1050747492784,-0.286848830517207,52640,17.34402,0.02238129,16.16669,0.02940238,15.89442,0.02128579,15.78845,0.01488173,15.73613,0.02524967,1223933.0
1237660785773445133,28.1050747492769,-0.286848830505505,52640,17.34395,0.02237219,16.16668,0.02940151,15.89441,0.02128417,15.78844,0.01487843,15.73613,0.02524019,1223933.0
1237663276866338834,28.1050697813241,-0.286855146082106,52910,17.26167,0.01210774,16.09687,0.02310685,15.82275,0.02954555,15.69196,0.01553333,15.63142,0.01270307,1223933.0
1237663276866338833,28.1050697813241,-0.286855146082106,52910,17.26167,0.01228635,16.09687,0.02310675,15.82275,0.02954548,15.69196,0.01553302,15.63142,0.01275086,1223933.0
1237663525993775114,28.1050608192748,-0.286845745537785,52935,17.37996,0.02463594,16.20124,0.03597294,15.90379,0.01970752,15.78377,0.03106733,15.77345,0.02062238,1223933.0
1237663525993775113,28.1050608192748,-0.286845745537785,52935,17.37996,0.02462989,16.20124,0.03597283,15.90379,0.01970728,15.78377,0.03106698,15.77346,0.02061764,1223933.0
1237663783672807490,28.1050681749475,-0.286850370728744,52963,17.35169,0.01701311,16.17979,0.01921922,15.91984,0.02316521,15.78036,0.02184466,15.73092,0.0218158,1223933.0
1237663783672807489,28.1050681749475,-0.286850370728744,52963,17.35168,0.01701311,16.17941,0.01921906,15.91984,0.02316521,15.78036,0.02184466,15.72979,0.02181602,1223933.0
1237663891031261229,28.1050738410194,-0.286850228856756,52971,17.36827,0.01806797,16.22206,0.01768917,15.90646,0.01597442,15.79056,0.01190084,15.7457,0.0159118,1223933.0
1237663891031261228,28.1050738410204,-0.28685022885205,52971,17.36827,0.0180593,16.22206,0.01768824,15.90646,0.0159728,15.79056,0.01189769,15.7457,0.01590381,1223933.0
1237667129436995598,28.105073164292,-0.286847412641468,53351,16.99851,0.03136681,15.88484,0.02645059,15.71198,0.0162375,15.61194,0.02368204,15.6213,0.02366802,1223933.0
1237667129436995597,28.1050731642925,-0.286847412648468,53351,16.99816,0.0313643,15.88474,0.02645042,15.71197,0.01623691,15.61194,0.02368113,15.62127,0.02364301,1223933.0
1237676324966826021,28.105066410408,-0.286853020637159,54424,17.00009,0.0358302,15.89002,0.03030844,15.69016,0.01453672,15.62022,0.01534142,15.62438,0.01649592,1223933.0
1237676324966826020,28.105066410408,-0.286853020637159,54424,17.00009,0.03582482,15.89002,0.03030515,15.69016,0.01453647,15.62022,0.01534529,15.62438,0.01649472,1223933.0
1237676324966826019,28.1050803945955,-0.28685354454723,54424,17.00054,0.03582477,15.89009,0.03030829,15.69006,0.01453643,15.62022,0.01534525,15.62485,0.01649433,1223933.0
